arasaacId,lemma,label,pos,lang,category,core,rationale
6632,io,io,MISC,it,persone,true,Subject pronoun, sentence engine requires it; pronoun, not proper name
6625,tu,tu,MISC,it,persone,true,Subject pronoun for addressing partner; pronoun despite ARASAAC type 1
6480,lui,lui,MISC,it,persone,true,Third-person masculine subject pronoun, engine requirement; pronoun not proper name
7028,lei,lei,MISC,it,persone,true,Third-person feminine subject pronoun, engine requirement; pronoun not proper name
7183,noi,noi,MISC,it,persone,true,First-person plural subject pronoun, engine requirement; pronoun not proper name
7304,voi,voi,MISC,it,persone,true,Second-person plural subject pronoun, engine requirement; pronoun not proper name
7032,loro,loro,MISC,it,persone,true,Third-person plural subject pronoun, engine requirement; pronoun not proper name
2458,mamma,mamma,NOUN,it,persone,false,Most-requested person word in child AAC use
2497,papà,papà,NOUN,it,persone,false,Primary caregiver, daily requests and comments
2243,nonna,nonna,NOUN,it,persone,false,Frequent caregiver in Italian families
2244,nonno,nonno,NOUN,it,persone,false,Frequent caregiver in Italian families
2423,fratello,fratello,NOUN,it,persone,false,Immediate family member, daily household talk
2422,sorella,sorella,NOUN,it,persone,false,Immediate family member, daily household talk
30255,zio,zio,NOUN,it,persone,false,Common extended-family figure, visits and stories
30271,zia,zia,NOUN,it,persone,false,Common extended-family figure, visits and stories
30340,cugino,cugino,NOUN,it,persone,false,Peer relative, frequent playmate in Italian families
2392,famiglia,famiglia,NOUN,it,persone,false,Groups all relatives, useful when name unknown
2485,bambino,bambino,NOUN,it,persone,false,Generic child reference for peers and self
2484,bambina,bambina,NOUN,it,persone,false,Feminine child reference for peers and self
2275,neonato,neonato,NOUN,it,persone,false,Talking about baby siblings, common life event
8487,amico,amico,NOUN,it,persone,false,Key social relationship word at school and home
8486,amica,amica,NOUN,it,persone,false,Feminine friend, key social relationship word
2456,maestra,maestra,NOUN,it,persone,false,Daily school communication partner
2467,dottore,dottore,NOUN,it,persone,false,Frequent medical appointments for AAC users
2375,infermiera,infermiera,NOUN,it,persone,false,Regular healthcare contact for many AAC users
2454,logopedista,logopedista,NOUN,it,persone,false,Weekly therapy figure for most AAC users
4665,uomo,uomo,NOUN,it,persone,false,Generic adult male reference for strangers
4703,donna,donna,NOUN,it,persone,false,Generic adult female reference for strangers
5441,volere,volere,VERB,it,azioni,true,Modal of desire; the single most used AAC request word
35949,potere,potere,VERB,it,azioni,true,Modal of ability/permission; core sentence builder
15523,dovere,dovere,VERB,it,azioni,true,Modal of obligation; ARASAAC types it noun, used as verb
5465,essere,essere,VERB,it,azioni,true,Copula; essential grammatical glue for any sentence
7271,avere,avere,VERB,it,azioni,true,Possession and auxiliary; high-frequency across all contexts
11749,fare,fare,VERB,it,azioni,true,Generic do/make; covers countless everyday constructions
8142,andare,andare,VERB,it,azioni,true,Movement toward; requesting places and transitions daily
11708,venire,venire,VERB,it,azioni,false,Calling someone over; complements andare
6456,mangiare,mangiare,VERB,it,azioni,true,Basic need; among the first requested actions
6061,bere,bere,VERB,it,azioni,true,Basic need; daily drink requests
6479,dormire,dormire,VERB,it,azioni,false,Daily routine and tiredness expression
6537,giocare,giocare,VERB,it,azioni,true,Primary leisure request for children and adults
16907,guardare,guardare,VERB,it,azioni,true,Directs attention; requesting TV, books, joint attention
2381,ascoltare,ascoltare,VERB,it,azioni,false,Music requests and attention directives
6517,parlare,parlare,VERB,it,azioni,false,Metacommunication; asking to talk or be talked to
28431,dare,dare,VERB,it,azioni,true,Transfer requests; dammi is constant daily speech act
6453,prendere,prendere,VERB,it,azioni,false,Getting objects; complements dare
6989,mettere,mettere,VERB,it,azioni,false,Placing objects; frequent in routines and instructions
24825,aprire,aprire,VERB,it,azioni,false,Doors, boxes, bottles; constant assistance request
24976,chiudere,chiudere,VERB,it,azioni,false,Opposite of aprire; equally frequent request
34826,lavare,lavare,VERB,it,azioni,false,Hygiene routine verb; spec maps lavarsi to lavare
2781,vestirsi,vestirsi,VERB,it,azioni,false,Dressing routine; spec maps vestirsi to vestire
32648,aiutare,aiutare,VERB,it,azioni,true,Help request; critical safety and autonomy word
5358,finire,finire,VERB,it,azioni,true,Marking task end; regulates transitions and refusals
16697,aspettare,aspettare,VERB,it,azioni,false,Self-regulation and turn-taking staple
6457,comprare,comprare,VERB,it,azioni,false,Shopping context; community participation verb
7141,leggere,leggere,VERB,it,azioni,false,School and leisure activity request
2380,scrivere,scrivere,VERB,it,azioni,false,Core school task verb
8088,disegnare,disegnare,VERB,it,azioni,false,Favorite activity request at home and school
6960,cantare,cantare,VERB,it,azioni,false,Music play; frequent preferred activity
6044,camminare,camminare,VERB,it,azioni,false,Basic mobility verb for outings and therapy
6465,correre,correre,VERB,it,azioni,false,Playground and movement vocabulary
6611,sedersi,sedersi,VERB,it,azioni,false,Daily positioning instruction; reflexive keyword, lemma per spec
6548,alzarsi,alzarsi,VERB,it,azioni,false,Getting up routine; reflexive keyword, lemma per spec
6898,amare,amare,VERB,it,azioni,false,Expressing affection to family and friends
37826,piacere,piacere,VERB,it,azioni,true,Preference expression; drives choice-making daily
30194,sentire,sentire,VERB,it,azioni,false,Perception and feelings; health context reporting
6564,vedere,vedere,VERB,it,azioni,false,Perception verb; wanting to see something
6019,capire,capire,VERB,it,azioni,false,Comprehension repair; only pictogram, idea-themed but clear
16885,sapere,sapere,VERB,it,azioni,false,Knowledge claims; pictogram shows raised hand, school sense
9693,dire,dire,VERB,it,azioni,false,Reporting speech; high-frequency communication verb
9847,chiedere,chiedere,VERB,it,azioni,false,Asking questions; pragmatic skill scaffold
9031,rispondere,rispondere,VERB,it,azioni,false,Conversation and school participation verb
6947,cercare,cercare,VERB,it,azioni,false,Looking for lost objects; daily problem solving
24742,trovare,trovare,VERB,it,azioni,false,Completes cercare; reporting outcomes
6553,portare,portare,VERB,it,azioni,false,Fetch requests; portami is frequent daily need
39414,tenere,tenere,VERB,it,azioni,false,Holding objects; caregiving and play interactions
6215,lasciare,lasciare,VERB,it,azioni,false,Letting go, leave-me alone; protest function
6607,saltare,saltare,VERB,it,azioni,false,Gross-motor play; trampoline and games
6052,ballare,ballare,VERB,it,azioni,false,Preferred activity; music and movement
6568,nuotare,nuotare,VERB,it,azioni,false,Pool activity; common therapy and leisure context
2795,salire,salire,VERB,it,azioni,false,Stairs, vehicles; mobility instruction
2654,scendere,scendere,VERB,it,azioni,false,Opposite of salire; mobility instruction
2742,entrare,entrare,VERB,it,azioni,false,Transitions between places; daily routine
2806,uscire,uscire,VERB,it,azioni,false,Requesting to go out; strong motivator
5431,cominciare,cominciare,VERB,it,azioni,false,Activity start marker; pairs with finire
7196,fermare,fermare,VERB,it,azioni,false,Stop function; protest and safety
8555,accendere,accendere,VERB,it,azioni,false,Lights and devices; constant home request
20093,spegnere,spegnere,VERB,it,azioni,false,Turning off devices; sensory regulation too
6604,rompere,rompere,VERB,it,azioni,false,Reporting broken things; frequent child narration
3351,pulire,pulire,VERB,it,azioni,false,Chores and hygiene routine verb
2342,cucinare,cucinare,VERB,it,azioni,false,Kitchen routine; shared activity request
2547,tagliare,tagliare,VERB,it,azioni,false,Food prep and crafts; assistance request
3293,toccare,toccare,VERB,it,azioni,false,Sensory exploration and non toccare boundary
6062,baciare,baciare,VERB,it,azioni,false,Affection exchange with family
6023,abbracciare,abbracciare,VERB,it,azioni,false,Requesting hugs; emotional regulation
7147,piangere,piangere,VERB,it,azioni,false,Emotion reporting for self and others
13354,ridere,ridere,VERB,it,azioni,false,Positive emotion sharing and narration
6552,gridare,gridare,VERB,it,azioni,false,Behavior talk; covers urlare too
37369,ricordare,ricordare,VERB,it,azioni,false,Memory talk; key for aphasia users
26258,dimenticare,dimenticare,VERB,it,azioni,false,Explaining forgotten items or steps
8029,imparare,imparare,VERB,it,azioni,false,School context; talking about new skills
6495,studiare,studiare,VERB,it,azioni,false,Homework routine verb for students
6624,lavorare,lavorare,VERB,it,azioni,false,Adult daily life; where family members are
16643,riposare,riposare,VERB,it,azioni,false,Requesting breaks; fatigue management for ALS users
8989,svegliarsi,svegliarsi,VERB,it,azioni,false,Morning routine anchor verb
4691,telefonare,telefonare,VERB,it,azioni,false,Requesting calls to family; social lifeline
9014,pagare,pagare,VERB,it,azioni,false,Shopping script; community autonomy
8661,pensare,pensare,VERB,it,azioni,false,Mental state talk; opinions and reflection
6067,cadere,cadere,VERB,it,azioni,false,Reporting falls; safety and health critical
16713,fare pipì,fare pipì,VERB,it,azioni,false,Bathroom need; among most urgent daily requests
3428,fare la cacca,fare la cacca,VERB,it,azioni,false,Bathroom need; dignity-critical request
2326,lavare i denti,lavare i denti,VERB,it,azioni,false,Twice-daily hygiene routine step
32464,acqua,acqua,NOUN,it,cibo,true,Most requested drink; vital daily need
2445,latte,latte,NOUN,it,cibo,true,Daily breakfast drink, high-frequency child request
11461,succo,succo,NOUN,it,cibo,false,Common drink request; covers succo di frutta
2429,tè,tè,NOUN,it,cibo,false,Common hot drink for adults and children
2494,pane,pane,NOUN,it,cibo,true,Italian staple present at every meal
8652,pasta,pasta,NOUN,it,cibo,true,Default Italian lunch; daily request word
2527,pizza,pizza,NOUN,it,cibo,false,Highly motivating, frequent favorite food
39387,riso,riso,NOUN,it,cibo,false,Common staple dish; food sense pictogram
2281,panino,panino,NOUN,it,cibo,false,Everyday snack and lunch option
2316,carne,carne,NOUN,it,cibo,false,Basic meal component, menu choice word
4952,pollo,pollo,NOUN,it,cibo,false,Most common meat served to children
6502,pesce,pesce,NOUN,it,cibo,false,Weekly meal item; food-sense pictogram chosen
2963,prosciutto,prosciutto,NOUN,it,cibo,false,Everyday Italian cold cut, sandwich filler
2427,uovo,uovo,NOUN,it,cibo,false,Basic frequent food, simple to request
2541,formaggio,formaggio,NOUN,it,cibo,false,Daily Italian table food
2618,yogurt,yogurt,NOUN,it,cibo,false,Common snack and breakfast item
2573,minestra,minestra,NOUN,it,cibo,false,Typical everyday soup; covers zuppa, brodo
2377,insalata,insalata,NOUN,it,cibo,false,Common side dish, menu choice
5400,patatine fritte,patatine fritte,NOUN,it,cibo,false,Highly motivating favorite; frequent request
8295,biscotto,biscotto,NOUN,it,cibo,true,Top child snack request, strong reinforcer
2502,torta,torta,NOUN,it,cibo,false,Dessert and birthday contexts
35209,gelato,gelato,NOUN,it,cibo,false,Highly motivating treat, frequent request
25940,cioccolato,cioccolato,NOUN,it,cibo,false,Strong reinforcer, common treat request
2686,caramella,caramella,NOUN,it,cibo,false,Frequent treat request from children
2470,marmellata,marmellata,NOUN,it,cibo,false,Breakfast staple, spread choice
2461,burro,burro,NOUN,it,cibo,false,Common table and breakfast item
2328,cereali,cereali,NOUN,it,cibo,false,Common breakfast choice; lexicalized plural
28339,frutta,frutta,NOUN,it,cibo,true,Category word for daily snack requests
2462,mela,mela,NOUN,it,cibo,false,Most common everyday fruit
2530,banana,banana,NOUN,it,cibo,false,Frequent snack fruit, easy to recognize
2483,arancia,arancia,NOUN,it,cibo,false,Common fruit and juice source
2400,fragola,fragola,NOUN,it,cibo,false,Popular fruit and flavor word
2561,pera,pera,NOUN,it,cibo,false,Common everyday fruit
3247,uva,uva,NOUN,it,cibo,false,Common fruit, easy finger food
8303,ciliegia,ciliegia,NOUN,it,cibo,false,Popular seasonal fruit
2557,anguria,anguria,NOUN,it,cibo,false,Summer staple fruit, distinct pictogram
2468,pesca,pesca,NOUN,it,cibo,false,Common fruit; fruit-sense pictogram, not fishing
28343,verdura,verdura,NOUN,it,cibo,false,Category word for vegetables at meals
2594,pomodoro,pomodoro,NOUN,it,cibo,false,Ubiquitous in Italian meals
2503,patata,patata,NOUN,it,cibo,false,Common vegetable, frequent side dish
2619,carota,carota,NOUN,it,cibo,false,Common vegetable, typical child food
25560,zucchero,zucchero,NOUN,it,cibo,false,Table condiment, taste vocabulary
25576,sale,sale,NOUN,it,cibo,false,Table condiment, taste vocabulary
